Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2020-12-1,23.3,32.5,0,,8.3,NE,24,12:18,27.7,56,7,S,4,1017.0,30.8,57,1,NE,9,1012.2
2020-12-2,23.9,31.9,0,,10.3,N,30,14:58,30.1,54,1,NE,6,1016.0,30.2,56,1,NNE,9,1013.8
2020-12-3,25.1,30.9,0,,5.7,ENE,24,12:58,27.3,61,7,NE,9,1019.6,29.8,48,2,ENE,11,1017.1
2020-12-4,23.6,32.8,0,,9.6,NNE,26,17:31,30.1,51,5,NW,7,1016.5,31.5,49,4,NNE,9,1010.7
2020-12-5,22.5,32.3,0,,12.3,NNE,33,16:20,30.5,56,1,NE,6,1013.7,29.5,57,4,NE,13,1009.6
2020-12-6,23.6,33.2,0,,8.9,NNE,31,12:58,30.2,46,5,WNW,4,1009.3,30.7,58,7,NNE,9,1004.9
2020-12-7,25.8,33.9,0,,2.5,NNW,24,23:21,28.9,62,8,NE,6,1008.5,27.1,79,8,N,9,1005.9
2020-12-8,22.3,33.0,4.8,,3.6,WNW,37,13:55,26.6,64,7,W,15,1010.0,31.6,19,6,WSW,9,1008.8
2020-12-9,20.0,28.5,0.2,,12.6,NE,28,14:41,25.3,51,2,ESE,7,1018.4,26.2,51,1,ENE,13,1017.0
2020-12-10,21.9,29.8,0,,10.8,NE,28,15:40,25.2,56,7,NNW,2,1019.5,28.6,47,1,NNE,9,1015.7
2020-12-11,22.1,26.1,0,,2.2,ESE,37,15:08,25.8,51,7,SE,11,1020.4,24.5,55,8,ESE,11,1019.2
2020-12-12,17.3,25.2,12.8,,3.7,S,30,15:33,18.8,84,8,S,6,1020.6,24.7,58,4,SSE,11,1016.7
2020-12-13,18.8,22.7,18.6,,0.0,S,44,16:09,21.6,85,7,SSE,13,1015.5,20.7,79,8,SSE,13,1012.6
2020-12-14,19.0,26.8,53.6,,0.9,SSE,63,11:32,22.6,87,7,ESE,9,1009.0,23.3,85,8,ESE,13,1006.3
2020-12-15,21.6,29.8,7.2,,10.1,NE,24,10:19,26.3,72,6,NE,4,1010.4,28.2,61,4,ENE,13,1008.9
2020-12-16,22.8,29.9,1.4,,8.3,ENE,37,17:53,27.1,75,7,ESE,6,1011.4,27.4,70,7,ENE,13,1008.7
2020-12-17,23.5,28.5,4.8,,4.6,NNE,31,14:49,26.5,75,8,NNE,7,1010.6,27.5,69,7,NE,11,1008.2
2020-12-18,23.4,30.9,15.6,,10.1,NNE,31,17:25,28.1,66,5,NW,7,1011.4,29.3,61,1,NNE,13,1009.0
2020-12-19,24.7,30.5,0.2,,8.2,NNE,24,16:21,28.6,66,6,NNE,7,1012.5,30.3,61,1,NNE,9,1010.7
2020-12-20,24.1,30.6,0,,10.4,NE,28,16:55,27.8,60,5,W,7,1012.5,29.5,59,1,NNE,9,1008.2
2020-12-21,23.8,30.7,2.8,,11.7,NE,28,15:42,28.4,65,7,ENE,6,1010.4,30.0,53,6,NE,11,1007.6
2020-12-22,23.5,32.5,0,,8.4,NE,24,14:21,28.9,59,3,NNE,7,1007.8,30.8,64,1,NNE,9,1004.7
2020-12-23,23.6,32.3,2.4,,9.9,E,33,15:21,27.4,46,4,SW,9,1011.5,29.1,45,6,E,15,1010.4
2020-12-24,20.5,28.2,0,,5.2,ENE,24,16:01,25.4,57,7,SE,7,1015.9,26.5,55,7,E,11,1013.7
2020-12-25,21.7,28.4,0,,8.2,ENE,26,15:38,25.4,60,7,SSW,4,1015.3,27.6,55,4,NE,13,1013.6
2020-12-26,19.2,28.1,0,,10.2,E,30,14:06,26.4,54,3,ESE,7,1018.0,26.9,50,5,ESE,13,1015.7
2020-12-27,18.6,29.3,0,,12.9,E,26,12:30,27.0,46,6,E,7,1016.9,27.2,54,2,ENE,11,1012.9
2020-12-28,21.1,30.3,0,,12.7,NNE,28,16:57,27.5,54,2,N,6,1013.7,29.7,39,4,NNE,9,1009.7
2020-12-29,21.9,30.5,0,,7.6,N,24,15:17,27.7,63,7,NNW,2,1013.1,28.9,57,8,NNE,9,1010.1
2020-12-30,24.4,26.2,0,,0.0,ENE,19,01:27,25.9,68,8,ENE,9,1013.9,25.2,72,8,NE,4,1012.7
2020-12-31,21.1,29.6,2.8,,11.4,ESE,37,15:24,25.1,78,6,SE,7,1013.9,28.3,54,5,ESE,15,1012.0
