Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-02-1,22.5,29.7,1.4,,11.8,E,31,13:46,25.8,61,5,E,9,1013.7,28.5,50,3,E,15,1010.3
2021-02-2,21.4,25.7,19.8,,0.0,W,20,09:07,21.7,94,8,W,11,1009.3,23.1,88,8,NE,2,1007.6
2021-02-3,20.4,29.1,44.6,,8.6,ESE,33,12:14,25.5,65,7,ESE,13,1011.1,27.9,47,7,ESE,15,1009.9
2021-02-4,19.7,30.0,0.2,,12.3,E,24,14:38,26.9,58,2,SE,7,1012.6,28.8,51,1,E,13,1010.1
2021-02-5,21.0,29.7,0.2,,9.2,NE,24,13:40,26.6,63,5,ESE,7,1012.1,28.3,57,7,ENE,11,1009.0
2021-02-6,21.0,31.1,0,,12.0,ENE,20,13:40,26.6,62,3,SSE,4,1009.0,30.0,53,3,NE,9,1004.6
2021-02-7,23.0,35.2,0,,8.7,ENE,20,16:12,27.6,65,7,S,4,1006.1,31.5,53,7,ENE,11,1001.3
2021-02-8,23.5,29.6,0.6,,7.8,E,37,16:57,27.6,54,6,SE,17,1009.4,27.3,55,4,ESE,13,1008.0
2021-02-9,21.8,29.1,0,,11.0,SE,37,17:13,26.5,47,3,SE,9,1013.7,28.2,46,5,E,15,1010.6
2021-02-10,18.8,28.5,0,,8.9,E,35,18:07,25.2,51,6,S,9,1014.1,26.8,45,4,E,13,1010.7
2021-02-11,19.9,27.6,0,,8.3,ENE,22,16:59,25.1,54,3,S,6,1014.8,26.3,55,3,ENE,9,1012.0
2021-02-12,20.7,30.1,0,,8.9,NNE,22,17:01,25.2,61,7,SSW,2,1014.2,28.1,51,4,NE,11,1010.7
2021-02-13,21.7,30.7,0,,9.7,NNE,28,16:50,26.5,60,6,NNW,4,1010.8,28.7,58,6,NNE,11,1006.6
2021-02-14,21.8,30.2,1.6,,3.0,SE,33,17:22,24.3,81,8,SSW,4,1008.8,28.9,53,6,SSE,9,1006.9
2021-02-15,20.7,29.2,0.2,,11.6,ENE,33,15:05,25.9,56,2,SSE,7,1013.0,28.3,51,1,E,15,1011.1
2021-02-16,20.7,28.9,0,,7.9,ESE,31,15:56,26.1,57,6,SSE,9,1014.5,28.6,51,7,SSE,7,1012.2
2021-02-17,19.5,28.6,5.4,,10.3,E,48,13:24,25.0,63,7,SSE,9,1016.6,26.6,59,5,SE,19,1014.5
2021-02-18,19.9,27.4,16.6,,2.9,SE,33,12:58,21.1,90,7,SE,4,1016.9,26.9,62,5,ESE,15,1014.6
2021-02-19,20.8,29.0,12.2,,7.2,ESE,20,15:48,23.6,87,7,SW,2,1015.2,26.1,76,7,E,9,1011.7
2021-02-20,22.2,29.6,0.4,,2.8,SSE,19,09:30,25.6,66,7,SSW,7,1012.4,28.4,56,7,SE,4,1008.0
2021-02-21,22.3,33.7,1.2,,10.4,W,28,11:14,28.2,57,2,W,11,1005.5,32.5,39,3,E,9,1000.8
2021-02-22,22.1,33.6,0,,11.9,ENE,37,23:15,28.8,62,1,SW,4,1005.4,31.0,58,1,NNE,7,1003.1
2021-02-23,23.3,32.1,8.2,,10.7,S,33,18:17,28.4,64,4,NW,4,1009.9,31.4,39,3,NNE,11,1006.7
2021-02-24,20.9,29.8,10.6,,7.2,E,26,14:10,24.8,78,7,ENE,7,1014.6,29.0,58,3,NE,9,1011.9
2021-02-25,22.2,28.7,16.8,,5.7,NNE,22,08:29,22.9,92,7, ,Calm,1013.9,28.2,65,6,ENE,11,1010.3
2021-02-26,22.5,31.8,0.2,,11.9,NNE,20,17:00,27.6,62,1,WNW,4,1011.4,30.4,54,1,NNE,9,1008.4
2021-02-27,23.2,30.8,0,,4.9,NE,19,13:30,28.0,63,7,ENE,2,1012.5,28.7,63,7,NE,7,1010.3
2021-02-28,24.1,31.4,4.0,,6.2,NE,20,13:35,27.3,71,7,WNW,2,1012.3,29.2,58,7,NNE,9,1009.4
