Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-01-1,21.7,29.4,2.4,,7.9,E,30,15:25,25.4,72,7,ESE,7,1014.3,26.5,65,5,ENE,13,1012.0
2021-01-2,21.5,29.9,1.8,,10.4,NE,26,16:47,26.1,63,7,ESE,9,1012.3,28.1,55,3,ENE,11,1008.8
2021-01-3,22.2,30.1,0,,10.5,ENE,26,16:27,26.2,63,5,ENE,6,1009.8,28.8,62,1,ENE,13,1007.1
2021-01-4,23.2,30.2,0,,3.6,ENE,22,14:00,25.3,80,8,ESE,4,1009.8,28.2,62,4,ENE,9,1007.6
2021-01-5,23.4,32.8,1.0,,8.4,NE,24,13:32,29.4,54,3,NNW,6,1009.7,30.5,53,5,NNE,9,1006.7
2021-01-6,22.3,33.3,0.4,,7.8,ESE,31,19:25,28.8,67,7,E,6,1010.5,31.6,55,1,NE,11,1006.1
2021-01-7,22.1,28.2,2.8,,0.8,ESE,31,14:29,24.7,73,8,SSW,6,1012.5,26.9,57,8,SE,15,1011.6
2021-01-8,20.9,23.7,0,,0.0,SE,33,14:20,22.2,73,8,SE,13,1015.7,21.6,81,8,SSE,7,1014.9
2021-01-9,18.6,26.9,5.6,,0.2,SE,35,13:17,22.3,68,8,SSE,11,1017.0,24.6,56,8,ESE,11,1015.1
2021-01-10,19.9,27.8,0.6,,8.0,SSE,35,13:01,25.1,59,5,SE,15,1016.7,27.1,51,6,SE,19,1015.1
2021-01-11,19.1,28.5,0,,9.2,ESE,35,14:42,25.8,61,6,SE,13,1017.0,26.2,52,7,ESE,13,1015.1
2021-01-12,18.5,30.3,0,,12.8,ENE,35,14:49,25.8,58,2,SSE,11,1016.1,27.6,49,1,E,15,1014.0
2021-01-13,20.1,30.8,0,,10.5,E,30,17:41,27.6,51,2,SE,13,1015.9,27.8,51,5,E,15,1013.8
2021-01-14,22.4,30.7,0,,13.1,E,28,15:27,27.8,55,1,E,7,1013.7,29.8,49,1,NE,11,1010.0
2021-01-15,20.8,31.9,0,,12.6,NW,74,12:00,27.6,60,4,WNW,4,1009.9,30.9,44,1,NNE,9,1006.5
2021-01-16,23.8,35.3,0,,8.3,SE,28,15:02,29.6,56,1,NNW,4,1007.2,29.2,64,7,E,11,1006.2
2021-01-17,22.8,29.5,31.6,,3.9,ENE,20,10:49,26.0,59,7,ESE,6,1014.0,28.7,38,7,ENE,6,1012.6
2021-01-18,23.8,30.1,0,,6.8,NE,33,13:12,27.8,73,4,ENE,7,1014.4,26.5,77,7,NNE,7,1011.2
2021-01-19,19.5,32.1,35.4,,7.1,E,24,16:40,23.4,75,7,SW,6,1013.8,31.6,44,2,S,4,1011.0
2021-01-20,22.4,27.6,0,,6.3,ESE,30,11:53,25.9,60,6,SE,15,1018.9,25.8,55,6,ESE,15,1017.1
2021-01-21,20.7,27.4,0,,4.0,E,26,14:59,23.9,64,7,ESE,7,1018.8,26.9,52,7,E,13,1015.6
2021-01-22,18.9,29.2,0,,10.9,E,22,13:40,26.3,50,3,SSW,2,1015.1,28.5,46,4,NNE,7,1011.6
2021-01-23,20.3,29.3,0,,11.7,ENE,26,13:46,25.7,58,3,ENE,4,1014.9,28.1,50,1,ENE,11,1013.4
2021-01-24,18.9,30.1,0,,9.2,E,28,14:17,26.5,53,3,ENE,11,1015.6,28.5,53,4,ENE,13,1012.3
2021-01-25,21.5,28.9,4.4,,7.7,ENE,22,14:19,25.4,70,7, ,Calm,1013.0,27.5,59,4,NE,11,1009.6
2021-01-26,19.4,30.6,0,,12.6,NE,24,17:58,26.8,58,1,W,4,1009.3,29.5,50,1,ENE,11,1006.0
2021-01-27,21.7,31.4,0.2,,11.7,ENE,26,14:09,28.6,61,5,WNW,2,1009.7,29.6,60,1,ENE,11,1008.0
2021-01-28,23.0,30.6,0.4,,7.8,ESE,35,16:27,27.2,65,6,ESE,11,1013.1,28.8,51,7,E,15,1011.2
2021-01-29,23.3,30.4,0,,10.1,ENE,31,13:06,26.9,59,7,ESE,11,1012.8,28.4,51,4,ESE,13,1010.6
2021-01-30,21.3,30.2,0,,11.4,NE,28,13:08,27.9,58,3,ENE,9,1012.6,29.6,50,6,E,13,1010.6
2021-01-31,23.0,30.4,0,,10.4,E,30,14:21,27.7,60,5,E,9,1013.2,27.2,63,5,ENE,13,1011.5
