Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2020-07-1,11.3,22.5,0,,7.1,N,15,14:45,15.0,76,3,WSW,4,1024.7,20.7,55,4,N,6,1020.8
2020-07-2,10.9,23.4,,,8.8,,,,15.3,79,7,SW,4,1024.2,21.8,55,4,ENE,7,1020.5
2020-07-3,11.7,24.8,0,,9.4,SW,24,21:24,13.1,94,1,WSW,2,1024.4,23.8,49,1,ENE,6,1019.7
2020-07-4,11.7,20.7,0,,10.1,W,37,13:50,16.1,41,1,WSW,7,1021.1,20.1,29,1,W,15,1017.0
2020-07-5,7.6,21.1,0,,9.7,W,19,13:13,12.9,44,1,SW,4,1023.4,20.5,24,7,WSW,2,1019.9
2020-07-6,8.1,22.8,0,,9.7,SSW,17,09:48,14.0,56,1,SW,6,1026.2,22.3,35,1,WNW,2,1023.9
2020-07-7,8.1,23.3,0,,9.6,E,19,16:07,13.5,64,1,SSW,6,1027.5,22.5,39,1,NE,4,1024.4
2020-07-8,11.1,23.9,0,,8.9,SSE,24,18:45,16.2,65,1,SW,6,1027.6,22.8,33,2,S,4,1024.0
2020-07-9,14.3,19.7,6.6,,0.6,E,22,14:16,15.9,90,8,SSW,6,1029.2,17.8,85,7,ESE,6,1026.6
2020-07-10,13.5,22.5,0.8,,8.5,ENE,20,13:06,16.6,82,6,SSW,4,1027.7,21.0,47,6,ENE,9,1023.4
2020-07-11,13.7,24.3,0.6,,8.0,NNE,19,15:46,16.4,85,6,SSW,2,1021.5,22.4,60,3,NE,9,1016.9
2020-07-12,13.9,22.8,0.2,,3.5,WSW,24,12:42,19.5,74,4, ,Calm,1017.0,19.0,72,8,SW,4,1014.7
2020-07-13,14.3,20.9,4.6,,6.6,WNW,30,16:36,15.4,72,7,SW,6,1017.9,20.7,33,2,WSW,9,1015.5
2020-07-14,10.1,18.4,0,,9.8,W,46,13:57,12.5,58,1,W,17,1017.6,18.3,37,1,WSW,13,1013.8
2020-07-15,10.5,22.6,0,,10.0,W,31,12:43,14.5,57,0,W,13,1016.9,21.8,28,1,W,9,1012.1
2020-07-16,8.4,21.8,0,,10.0,W,26,14:29,14.9,48,0,WSW,7,1016.3,21.6,27,0,W,9,1012.0
2020-07-17,9.0,22.7,0,,9.9,E,19,15:53,15.4,49,0,SW,2,1016.9,22.4,37,1,W,6,1014.9
2020-07-18,10.2,23.6,0,,9.8,SE,17,13:23,16.2,59,0,SW,7,1020.2,23.3,36,1, ,Calm,1016.6
2020-07-19,10.1,25.1,0,,10.0,SSE,17,14:17,15.5,67,1,SW,6,1020.0,24.9,30,1,W,4,1016.0
2020-07-20,9.5,25.4,0,,10.0,E,24,16:12,14.9,62,0,SW,2,1018.7,25.3,21,2,WNW,4,1015.0
2020-07-21,12.4,21.5,0,,4.3,SE,24,11:17,14.9,64,7,SW,4,1023.6,20.0,41,7,SE,9,1022.3
2020-07-22,13.0,19.2,0,,0.0,SE,22,12:54,14.8,60,8,WSW,4,1026.2,18.6,58,8,ESE,9,1023.4
2020-07-23,12.8,17.3,0,,0.0,WSW,13,07:27,14.7,68,8,SW,4,1024.2,16.0,75,7,WSW,4,1021.5
2020-07-24,14.1,20.4,7.2,,2.6,SSE,33,13:29,15.8,91,7,SW,4,1024.3,19.4,69,7,SE,13,1022.0
2020-07-25,14.6,20.8,3.2,,0.4,S,19,13:56,16.1,94,8,WSW,4,1021.9,19.8,80,8,S,6,1018.0
2020-07-26,15.9,23.5,34.2,,4.4,W,52,16:09,17.8,89,7,WSW,7,1012.3,23.4,53,2,W,11,1008.2
2020-07-27,13.1,19.3,1.8,,5.6,W,46,12:43,15.4,60,1,WNW,13,1012.1,18.8,48,7,W,17,1009.1
2020-07-28,12.6,21.7,0.2,,10.0,WSW,33,10:22,16.4,49,1,WSW,9,1013.4,20.8,34,1,WNW,13,1011.7
2020-07-29,8.3,23.3,0,,9.1,WSW,20,09:47,16.2,60,0,WSW,7,1016.2,23.0,40,2,SW,6,1013.3
2020-07-30,11.1,24.2,0,,9.2,E,19,16:12,16.7,61,1,SW,6,1020.6,23.5,33,3,SSW,7,1018.3
2020-07-31,11.1,22.8,0,,9.9,E,26,13:56,17.0,53,1,SSW,6,1024.1,22.0,37,1,SE,7,1021.7
