Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2020-06-1,14.0,24.4,0,,5.5,NNE,19,16:02,16.3,87,7,SW,2,1019.4,23.4,65,7,NE,6,1014.0
2020-06-2,14.6,20.6,0,,10.1,W,41,10:01,15.8,41,0,W,15,1018.8,20.1,21,0,W,17,1016.7
2020-06-3,9.5,22.1,0,,10.0,W,26,11:44,14.5,45,0,SW,7,1022.0,21.6,28,0,WSW,6,1019.6
2020-06-4,10.3,21.0,0,,5.3,SSW,28,11:06,16.4,48,3,SSW,6,1028.4,20.1,49,7,SE,7,1026.5
2020-06-5,12.6,23.8,0,,9.6,SE,20,11:25,17.6,58,1,SSW,7,1028.6,21.8,52,2,E,6,1024.6
2020-06-6,10.4,24.2,0,,9.8,NE,15,15:26,15.8,73,1,SW,4,1024.9,22.8,39,1,NE,6,1020.9
2020-06-7,10.9,23.3,0,,5.0,ENE,19,15:15,15.6,79,2,SW,2,1022.3,21.9,51,6,NE,4,1019.1
2020-06-8,12.1,23.6,0,,9.6,SE,22,13:53,16.6,77,1,WSW,6,1023.7,21.7,46,1,SE,7,1022.4
2020-06-9,10.8,23.1,0,,7.4,SE,30,15:30,16.1,62,3,SW,6,1027.9,21.9,51,2,SE,13,1024.1
2020-06-10,14.9,23.5,7.0,,5.7,ENE,26,13:23,17.5,88,7,SSW,6,1026.0,19.7,84,6,SE,7,1022.1
2020-06-11,15.4,26.1,5.4,,8.1,E,20,16:38,19.1,82,6,SW,4,1022.3,25.1,51,5,WSW,2,1018.1
2020-06-12,13.9,25.9,0,,9.3,WSW,15,11:22,19.1,70,1,SSW,4,1022.7,24.7,42,3,ESE,4,1019.4
2020-06-13,13.4,24.7,0,,4.8,ENE,15,13:52,18.6,72,1,SSW,4,1023.0,22.8,65,7,NE,7,1020.0
2020-06-14,18.6,24.8,4.0,,1.9,W,24,13:14,21.6,89,7,NE,6,1019.1,20.7,85,8,WNW,6,1017.7
2020-06-15,15.4,25.2,11.4,,9.1,SSE,13,12:00,19.2,74,1,SW,2,1022.5,24.8,46,3,W,4,1019.8
2020-06-16,14.6,23.3,0,,4.4,SE,22,14:57,18.1,75,5,SW,6,1023.8,22.6,63,7,ESE,11,1021.6
2020-06-17,13.0,23.3,0,,9.7,E,26,14:52,17.2,79,1,WSW,6,1028.4,22.3,49,2,ESE,13,1026.6
2020-06-18,15.0,23.8,1.2,,7.2,ESE,30,13:37,18.4,64,1,SW,4,1031.3,21.0,67,4,SE,11,1029.0
2020-06-19,12.9,21.5,5.2,,7.6,ESE,24,13:04,17.0,73,1,SSW,6,1030.3,19.8,63,6,ESE,7,1026.7
2020-06-20,13.1,19.2,1.8,,1.6,ESE,20,14:13,14.8,93,8,SSW,4,1026.2,17.4,85,7, ,Calm,1022.3
2020-06-21,14.1,22.5,2.8,,8.4,SW,24,20:29,16.2,85,5,SSW,6,1019.0,21.7,61,1,NE,7,1013.8
2020-06-22,11.5,20.9,1.6,,10.0,W,30,11:41,17.0,48,0,W,6,1015.4,20.5,31,1,W,11,1012.2
2020-06-23,9.1,20.1,0,,9.8,WNW,43,13:17,15.3,50,1,W,15,1016.1,19.4,33,1,WSW,15,1013.1
2020-06-24,10.5,20.3,0,,9.9,W,30,12:05,14.8,51,1,W,7,1018.5,19.8,37,0,W,13,1015.0
2020-06-25,9.6,21.5,0,,10.0,WSW,17,00:15,14.7,56,0,WSW,4,1019.7,20.6,37,5,WSW,4,1017.5
2020-06-26,9.7,22.9,0,,9.8,SW,15,10:34,14.8,60,1,SW,6,1021.8,22.0,46,1,NE,4,1019.6
2020-06-27,10.5,23.6,0,,9.7,SE,20,17:32,15.9,69,1,SW,4,1024.5,23.3,32,1,SW,4,1021.7
2020-06-28,14.3,18.0,0.4,,0.0,SSE,19,15:04,15.5,83,8,SW,4,1025.3,17.8,78,8,S,6,1023.1
2020-06-29,10.9,22.4,0.8,,9.3,SSE,22,12:08,15.7,66,1,SW,6,1025.6,22.2,36,1,SW,4,1022.0
2020-06-30,10.3,22.2,0,,8.6,SSE,17,11:30,15.2,68,3,SW,4,1025.5,20.4,58,3,ESE,7,1021.9
