Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-03-1,24.1,29.6,0,,0.2,ENE,11,15:46,26.3,75,8,WSW,4,1010.7,29.1,60,8,NE,6,1008.4
2021-03-2,22.1,33.2,0,,10.8,S,33,17:32,27.9,64,3,W,6,1009.7,31.4,54,3,NE,9,1006.1
2021-03-3,22.5,26.5,6.2,,3.1,ESE,28,15:02,24.4,78,8,ESE,6,1012.1,24.9,66,7,ESE,11,1010.1
2021-03-4,20.1,26.7,0.6,,3.1,SE,33,11:09,21.8,79,8,SE,6,1013.2,25.7,57,5,ESE,13,1010.6
2021-03-5,18.0,30.8,0,,11.6,ENE,19,15:19,24.7,61,1,WSW,4,1009.0,30.3,50,2,NNE,6,1003.4
2021-03-6,20.9,28.5,0,,8.7,E,26,12:33,26.4,58,7,ESE,9,1009.9,25.8,56,7,E,15,1008.8
2021-03-7,21.1,28.4,0,,8.2,ENE,26,14:53,24.7,68,6, ,Calm,1015.9,26.9,60,1,ENE,15,1012.7
2021-03-8,21.8,29.6,0,,8.8,NNE,30,14:37,27.3,58,4,NNW,9,1017.3,27.9,63,5,NNE,9,1012.8
2021-03-9,21.3,30.4,25.6,,7.9,NE,22,17:05,24.3,79,7,NW,4,1016.0,30.2,60,2,NE,6,1012.3
2021-03-10,20.8,30.6,0,,9.6,E,31,15:32,25.2,68,3,WSW,6,1018.4,29.8,54,3,E,13,1015.6
2021-03-11,22.3,28.5,0,,1.5,WNW,26,11:17,25.9,71,7, ,Calm,1020.2,23.0,85,8,E,6,1018.5
2021-03-12,20.6,28.0,0.8,,7.9,E,24,15:39,25.4,70,3,WSW,2,1019.7,26.0,66,7,NE,9,1017.1
2021-03-13,21.4,29.4,0.4,,8.3,ENE,24,12:24,26.0,71,7,NE,4,1017.6,27.8,63,2,ENE,11,1014.5
2021-03-14,21.5,30.8,0.2,,10.8,ENE,28,12:34,26.4,66,2,NW,2,1014.6,29.3,54,2,NE,13,1010.8
2021-03-15,22.5,23.0,6.6,,0.0,SSW,19,15:07,22.6,87,7,SSW,4,1015.9,21.3,84,8,SSW,4,1015.7
2021-03-16,19.1,25.4,12.4,,0.0,SE,30,11:53,22.4,74,8,SSE,4,1020.2,21.5,79,8,SSE,6,1018.8
2021-03-17,18.9,22.3,11.6,,0.0,ESE,19,16:58,19.7,91,8, ,Calm,1019.2,20.8,86,8,E,6,1016.7
2021-03-18,19.4,27.8,15.4,,2.6,E,22,17:00,22.1,83,7,WSW,4,1017.0,27.1,60,7,E,7,1014.2
2021-03-19,20.7,28.7,0,,6.1,NE,19,16:49,25.0,68,6,WSW,4,1017.1,28.4,59,5,NNE,6,1014.2
2021-03-20,21.9,28.6,20.8,,1.2,E,24,18:47,23.6,87,8,E,9,1017.6,27.1,68,7,N,4,1014.7
2021-03-21,22.0,28.5,1.0,,2.4,ENE,26,12:53,24.6,81,7,NNW,2,1017.8,23.7,89,7,E,11,1015.7
2021-03-22,21.1,23.2,125.0,,0.0,ENE,20,04:47,22.0,91,8, ,Calm,1018.5,21.8,94,8,ESE,6,1014.8
2021-03-23,21.4,27.8,52.6,,0.0,N,28,15:36,23.2,95,7,NE,7,1010.9,24.9,88,8,NNE,9,1005.3
2021-03-24,21.4,30.9,21.4,,8.3,W,37,16:36,27.4,69,6,W,7,1004.3,30.3,48,2,W,15,1001.7
2021-03-25,16.7,31.1,0,,11.4,W,35,15:18,25.5,54,1,SW,4,1007.7,30.7,30,1,W,13,1004.7
2021-03-26,19.1,30.5,0,,11.0,ESE,22,14:12,25.6,44,0,SW,6,1013.3,27.8,46,2,ENE,11,1010.5
2021-03-27,20.4,29.8,0,,10.1,WNW,20,13:18,25.2,67,1,SW,4,1015.4,28.8,54,1,ENE,9,1011.7
2021-03-28,18.9,30.7,0,,9.2,WNW,20,13:54,25.4,55,1,WSW,6,1016.9,29.5,36,7,S,4,1013.2
2021-03-29,19.8,30.0,0,,10.0,ESE,24,14:58,25.2,61,2,SW,4,1017.9,27.0,55,1,E,11,1014.7
2021-03-30,19.9,26.3,0,,3.5,E,33,13:54,22.7,65,6,SE,9,1019.7,24.1,66,7,ESE,9,1017.9
2021-03-31,17.3,27.1,0,,9.4,ESE,28,17:14,22.9,56,2,SSW,6,1020.3,24.9,49,4,ESE,11,1017.8
